,0,1,2,3,4,5
55,Game 1,"Sun, May 1",Golden State Warriors,117.0,@ Memphis Grizzlies,116.0
56,Game 2,"Tue, May 3",Golden State Warriors,101.0,@ Memphis Grizzlies,106.0
57,Game 3,"Sat, May 7",Memphis Grizzlies,112.0,@ Golden State Warriors,142.0
58,Game 4,"Mon, May 9",Memphis Grizzlies,98.0,@ Golden State Warriors,101.0
59,Game 5,"Wed, May 11",Golden State Warriors,95.0,@ Memphis Grizzlies,134.0
60,Game 6,"Fri, May 13",Memphis Grizzlies,96.0,@ Golden State Warriors,110.0
61,,,,,,
62,Eastern Conference First Round,Boston Celtics over Brooklyn Nets  (4-0),Series Stats,,,
63,"Game 1 Sun, April 17 Brooklyn Nets 114@ Boston Celtics 115 Game 2 Wed, April 20 Brooklyn Nets 107@ Boston Celtics 114 Game 3 Sat, April 23 Boston Celtics 109@ Brooklyn Nets 103 Game 4 Mon, April 25 Boston Celtics 116@ Brooklyn Nets 112","Game 1 Sun, April 17 Brooklyn Nets 114@ Boston Celtics 115 Game 2 Wed, April 20 Brooklyn Nets 107@ Boston Celtics 114 Game 3 Sat, April 23 Boston Celtics 109@ Brooklyn Nets 103 Game 4 Mon, April 25 Boston Celtics 116@ Brooklyn Nets 112","Game 1 Sun, April 17 Brooklyn Nets 114@ Boston Celtics 115 Game 2 Wed, April 20 Brooklyn Nets 107@ Boston Celtics 114 Game 3 Sat, April 23 Boston Celtics 109@ Brooklyn Nets 103 Game 4 Mon, April 25 Boston Celtics 116@ Brooklyn Nets 112",,,
64,Game 1,"Sun, April 17",Brooklyn Nets,114.0,@ Boston Celtics,115.0
65,Game 2,"Wed, April 20",Brooklyn Nets,107.0,@ Boston Celtics,114.0
66,Game 3,"Sat, April 23",Boston Celtics,109.0,@ Brooklyn Nets,103.0
67,Game 4,"Mon, April 25",Boston Celtics,116.0,@ Brooklyn Nets,112.0
68,Eastern Conference First Round,Miami Heat over Atlanta Hawks  (4-1),Series Stats,,,
